Id,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30
12,118,13742,1,116,1305,0.33,0.875,2.1173,0.3316,4046506,0,0.0,1,1.1461,16,1.0,40,1291,131,4046520,0.5,1403,1.1461,0.3106541850810828,1346,-0.1805,0.0609,0.9333,15,95,0.0104
13,143,9247,1,64,1300,0.2348,0.8929,1.8633,0.416,883635,1,-0.8,0,1.3979,28,0.2,143,1275,73,883640,0.0,581,0.699,0.5314110410045777,1692,-0.0104,0.4634,0.3571,14,111,0.0148
14,129,6470,1,50,209,0.2739,0.5909,1.7324,0.6539,652754,1,-0.0769,0,1.1139,22,0.9231,100,196,54,652766,0.0,714,1.0792,0.7875898362293392,1467,-0.064,0.2672,0.5454,22,110,0.0089
15,127,71337,1,561,392,0.9987,0.5652,2.7868,0.5292,228379,0,0.48,1,1.415,46,0.52,200,366,612,228429,1.0,1923,1.699,0.35966629366661096,1687,-0.0894,0.4339,0.9615,52,103,0.0154
16,124,17124,1,138,757,0.4729,0.6191,2.2095,0.4336,113269,1,0.4091,0,1.1139,21,0.5909,60,744,162,113291,1.0,1330,1.3424,0.774907903381328,1690,-0.1742,0.8805,0.9565,23,85,0.0077
17,125,614522,1,4916,216,1.0,0.5673,3.7733,0.4319,2201440,0,-0.6667,1,2.248,312,0.3333,40,39,5933,2201499,0.0,1437,1.7708,0.5157556762880513,1356,-0.1908,0.0575,0.3533,167,38,0.1305
18,116,13352,1,115,1021,0.3787,0.6552,2.1072,0.4386,28972,0,-0.3684,1,1.2787,29,0.6316,40,1002,128,28984,0.0,892,1.0792,0.24359674535860742,1360,-0.1851,0.4985,0.75,16,96,0.014
19,127,18471,1,145,1187,0.8019,0.8649,2.2095,0.6836,2574964,1,-0.5,0,1.5051,37,0.5,100,1155,162,2574980,0.0,138,1.2041,0.7827352272502862,1623,-0.1092,0.5373,0.4706,34,104,0.0197
20,125,7391,1,59,291,0.1954,0.8182,1.8261,0.2556,455871,0,0.1,1,0.9542,11,0.9,40,282,67,455881,1.0,608,1.0,0.7324135029937877,1374,-0.1382,0.4105,1.0,10,96,0.0066
21,132,6459,1,48,124,0.1892,0.7,1.7482,0.3333,800126,1,0.4167,0,0.8451,10,0.5833,60,117,56,800138,1.0,853,1.0792,0.9125827441419312,1690,-0.0989,0.1385,1.0,12,104,0.0041
22,126,445047,1,3532,183,1.0,0.6762,3.6247,0.4065,199980,0,-0.6479,1,2.1523,210,0.3521,40,41,4214,200030,0.0,8,1.699,0.12811363267554587,1360,-0.1749,0.0603,0.431,116,42,0.1044
23,93,14763,1,158,784,0.5063,0.7727,2.2601,0.4052,45270,0,0.0556,1,1.2305,22,0.9444,140,767,182,45288,1.0,55,1.2553,0.7807290310219679,1630,-0.3663,0.9411,1.0,18,72,0.0104
24,180,10518,1,58,935,0.2051,1.0,1.7993,0.3636,675316,0,0.1818,1,0.9542,9,0.8182,40,926,63,675327,1.0,1800,1.0414,0.6103353887901798,1387,0.3043,0.6518,1.0,11,156,0.0065
25,133,18711,1,140,10,0.385,0.6154,2.2068,0.306,421204,0,0.7241,1,0.9031,13,0.2759,200,2,161,421233,1.0,322,1.4624,0.3283612050046888,1687,-0.0921,0.0024,1.0,29,103,0.0047
26,140,10188,1,72,1457,0.2253,0.6842,1.8976,0.3248,5996730,1,-0.3077,0,1.1139,19,0.6923,69,1444,79,5996739,0.0,771,0.9542,0.5692120504306768,1648,0.0075,0.2318,0.8182,11,116,0.0079
27,125,37889,1,303,1610,0.8749,0.7333,2.6107,0.3131,3353146,1,0.1852,0,1.3424,30,0.8148,70,1588,408,3353173,1.0,1585,1.4314,0.9388053542070384,1690,-0.2745,0.0947,1.0,27,57,0.013
28,134,3806,1,28,335,0.156,0.875,1.5185,0.3265,322285,1,0.0,0,0.8451,8,1.0,150,328,33,322292,0.5,1053,0.8451,0.13865449623341952,1688,-0.099,0.3886,1.0,7,102,0.0041
29,133,82565,1,620,74,1.0,0.803,2.8943,0.7209,5367324,1,0.0,0,1.7243,66,1.0,80,21,784,5367377,0.5,476,1.7243,0.42790321368135,1648,-0.1772,0.0255,0.9815,54,67,0.0322
30,127,14032,1,110,23,0.2984,0.375,2.0864,0.2988,2433462,0,0.7931,1,0.7782,16,0.2069,40,17,122,2433491,1.0,1326,1.4624,0.37306058755805305,1352,-0.1014,0.0251,1.0,29,107,0.0044
31,124,645839,1,5208,213,1.0,0.6007,3.7931,0.4654,1566243,0,-0.625,1,2.2455,293,0.375,40,37,6210,1566309,0.0,31,1.8195,0.96750973243421,1356,-0.1875,0.0546,0.4314,153,38,0.1298
32,126,24834,1,197,1154,0.6514,0.3913,2.3541,0.4293,595201,1,0.7954,0,0.9542,23,0.2045,100,1145,226,595245,1.0,584,1.6435,0.9173376725516761,1358,-0.1415,0.3004,1.0,44,93,0.0066
33,142,2214,1,15,866,0.1322,0.7143,1.2305,0.15,858604,0,-0.2,1,0.699,7,0.8,50,861,17,858608,0.0,562,0.6021,0.8435883847625412,1356,0.0175,0.7227,1.0,4,114,0.0037
34,118,6490,1,55,93,0.1954,0.8333,1.7853,0.3222,1846280,1,-0.1,0,1.0,12,0.9,70,83,61,1846289,0.0,987,0.9542,0.05010668969693377,1356,-0.1688,0.1224,0.9,10,96,0.0074
35,127,5345,1,42,944,0.1852,0.8,1.699,0.375,597956,1,0.2,0,0.9031,10,0.8,60,936,50,597966,1.0,1762,1.0,0.21177216346631034,1692,-0.1648,0.8842,1.0,10,93,0.0047
36,124,685447,1,5527,212,1.0,0.5475,3.8193,0.4393,1715280,0,-0.6069,1,2.238,316,0.3931,40,39,6596,1715348,0.0,66,1.8325,0.5592071607454135,1358,-0.1881,0.0574,0.4,170,44,0.1274
37,141,26197,1,185,974,0.6173,0.2895,2.3032,0.4626,657468,0,0.6765,1,1.0414,38,0.3235,40,963,201,657502,1.0,706,1.5315,0.7919744251413741,1372,0.0182,0.5802,0.9714,35,123,0.008
38,132,20751,1,157,837,0.3834,0.7778,2.2601,0.2121,1874382,0,0.7879,1,0.8451,9,0.2121,40,830,182,1874415,1.0,276,1.5185,0.3179910969520494,1373,-0.1093,0.7808,1.0,33,99,0.0051
39,119,9347,1,78,772,0.2432,0.6667,1.9956,0.25,1147869,1,-0.0833,0,1.0792,18,0.9167,70,760,99,1147880,0.0,1675,1.0414,0.9385114589610658,1362,-0.2624,0.8664,1.0,11,61,0.0088
40,126,426267,1,3383,172,1.0,0.7514,3.6152,0.3404,334925,0,-0.6466,1,2.1239,177,0.3534,40,39,4123,334972,0.0,387,1.6721,0.9511946600038411,1360,-0.1923,0.0573,0.5222,90,40,0.0978
41,134,2633,1,19,309,0.1417,1.0,1.3222,0.3438,1156107,0,-0.5,1,0.9031,8,0.5,50,301,21,1156111,0.0,1060,0.6021,0.9529224684855657,1358,-0.0205,0.4433,0.8,5,120,0.0059
42,130,25800,1,198,625,0.7254,0.4516,2.3483,0.5022,468991,1,0.5625,0,1.1461,31,0.4375,70,611,223,469023,1.0,301,1.5051,0.13455220841314708,1626,-0.0961,0.7515,1.0,32,106,0.0086
43,133,5226,1,39,1305,0.1622,1.0,1.6628,0.1786,817238,1,-0.125,0,0.9031,8,0.875,60,1297,46,817245,0.0,1236,0.8451,0.20698515964083974,1690,-0.1124,0.4556,0.875,8,97,0.0047
44,124,690169,1,5565,216,1.0,0.5396,3.8237,0.4771,2662735,0,-0.5932,1,2.248,328,0.4068,40,39,6664,2662807,0.0,91,1.8573,0.696320375077736,1358,-0.1909,0.0574,0.4186,172,33,0.1303
45,124,658914,1,5313,214,1.0,0.6732,3.8033,0.4433,1413654,0,-0.6185,1,2.238,257,0.3815,40,41,6357,1413720,0.0,993,1.8195,0.2119546110805426,1358,-0.1902,0.0604,0.5116,129,41,0.1274
46,156,19711,1,126,24,0.3329,0.45,2.1875,0.2222,1620686,1,0.5909,0,0.9542,20,0.4091,70,15,154,1620708,1.0,810,1.3424,0.004007604733339498,1358,0.0,0.0221,1.0,22,103,0.0066
47,142,65223,1,459,197,0.9998,0.4643,2.7059,0.6849,1317364,0,-0.4038,1,1.716,112,0.5961,40,145,508,1317395,0.0,475,1.4914,0.3047046037608313,1362,0.0031,0.2129,0.5254,59,120,0.0382
48,132,29526,1,223,1141,0.5903,0.7778,2.4166,0.2689,350893,0,-0.1905,1,1.3222,27,0.8095,40,1120,261,350910,0.0,1850,1.2305,0.23067912532785784,1356,-0.1162,0.3171,1.0,17,88,0.0155
49,126,10269,1,81,900,0.2432,0.8,2.0212,0.2045,172100,1,-0.0833,0,1.0792,15,0.9167,70,888,105,172111,0.0,1116,1.0414,0.13799751734790533,1686,-0.2359,0.9324,1.0,11,59,0.0071
50,135,62926,1,466,103,0.9998,0.3889,2.7168,0.6764,149046,1,0.2391,0,1.5441,90,0.7609,70,68,521,149092,1.0,1878,1.6628,0.5472828412048747,1354,-0.0564,0.1004,0.8518,54,104,0.0258
51,197,10612,1,53,708,0.2051,0.8182,1.7559,0.4242,86285,0,0.1818,1,0.9542,11,0.8182,200,699,57,86296,1.0,26,1.0414,0.4667210037270342,1353,0.4545,0.9534,0.9167,12,179,0.0066
52,125,4998,1,39,478,0.1715,0.6,1.6233,0.3636,10440356,0,0.4545,1,0.7782,10,0.5454,40,472,42,10440367,1.0,350,1.0414,0.6161657000241213,1360,-0.0703,0.6941,0.9167,12,112,0.0044
53,141,1961,1,13,696,0.1384,1.0,1.2041,0.4286,1481144,0,-0.4286,1,0.8451,7,0.5714,50,689,16,1481148,0.0,1555,0.6021,0.7631554898199004,1360,-0.0425,0.9765,1.0,4,102,0.0052
54,148,515942,1,3486,1144,1.0,0.1862,3.6333,0.329,401768,0,0.8087,1,1.5441,188,0.1913,70,1109,4298,401951,1.0,505,2.2624,0.7998704107638365,1353,-0.0622,0.3089,0.9682,189,6,0.0259
55,127,14727,1,115,1182,0.2901,1.0,2.1004,0.25,61060,0,0.1429,1,1.0792,12,0.8571,185,1170,126,61074,1.0,1297,1.1461,0.16606263241397312,1353,-0.0869,0.2528,1.0,14,103,0.0089
56,126,18480,1,146,419,0.8612,0.3692,2.1987,0.7257,4680348,0,0.0,1,1.3802,65,1.0,40,395,158,4680372,0.5,1409,1.3802,0.7078438944014478,1364,-0.0862,0.5792,0.6154,39,111,0.0176
57,124,701946,1,5660,214,1.0,0.7269,3.836,0.4086,1740121,0,-0.6127,1,2.238,238,0.3873,40,41,6855,1740188,0.0,998,1.8261,0.993368498411178,1358,-0.2,0.0604,0.4718,142,38,0.1274
58,109,12465,1,114,44,0.5362,0.4,2.1523,0.5617,2070769,1,0.5556,0,1.0792,30,0.4444,70,32,142,2070796,1.0,165,1.4314,0.37092228386243875,1354,-0.3142,0.0473,0.931,29,72,0.0089
59,124,686356,1,5535,219,1.0,0.5071,3.8212,0.4527,1704636,0,-0.618,1,2.2504,351,0.382,40,41,6625,1704704,0.0,466,1.8325,0.6492331552453089,1358,-0.1906,0.0604,0.3931,173,42,0.1311
60,124,15643,1,126,1085,0.7933,0.5454,2.2068,0.6806,3326735,1,-0.125,0,1.3802,44,0.875,80,1061,161,3326756,0.0,207,1.3222,0.6776586736128575,1362,-0.2409,0.4067,0.5385,39,85,0.0176
61,141,1196792,1,8487,393,1.0,0.609,4.0182,0.8473,1924169,0,-0.4489,1,2.5465,578,0.5511,40,41,10429,1924363,0.0,1269,2.2878,0.4936720762706458,1402,-0.1035,0.0585,0.5078,382,33,0.2511
62,118,21031,1,178,770,0.5822,0.8,2.3263,0.3977,1066700,1,0.2727,0,1.2041,20,0.7273,70,754,212,1066722,1.0,872,1.3424,0.9792246337072796,1362,-0.225,0.8693,1.0,22,77,0.0117
63,116,16633,1,143,55,0.43,0.52,2.2304,0.3462,1798152,1,0.35,0,1.1139,25,0.65,70,42,170,1798172,1.0,590,1.301,0.9274604585040267,1356,-0.2356,0.0619,0.9524,21,84,0.0096
64,119,647595,1,5441,216,1.0,0.6272,3.7977,0.4877,1615921,0,-0.6,1,2.243,279,0.4,40,41,6276,1615991,0.0,354,1.8451,0.46598515298122734,1356,-0.1939,0.0605,0.4545,154,43,0.1291
65,134,2001,1,14,307,0.14,0.8571,1.2041,0.4667,1095698,0,-0.1667,1,0.7782,7,0.8333,50,301,16,1095703,0.0,1823,0.699,0.6019969635275295,1356,-0.0229,0.4439,1.0,5,119,0.0044
66,124,49848,1,402,1525,0.8927,0.625,2.659,0.2645,4373281,0,0.3548,1,1.301,32,0.6452,40,1505,456,4373312,1.0,569,1.4914,0.5395274352616787,1668,-0.146,0.1715,1.0,31,92,0.012
67,140,2034,1,14,811,0.1353,1.0,1.2041,0.3333,598090,0,-0.3333,1,0.7782,6,0.6667,50,805,16,598094,0.0,1451,0.6021,0.6177889085055832,1360,-0.0068,0.8073,1.0,4,110,0.0044
68,143,1375431,1,9618,212,1.0,0.2633,4.0746,0.6009,1299230,0,-0.0058,1,2.238,657,0.9942,40,39,11875,1299402,0.0,966,2.2355,0.953205524905189,1398,-0.0951,0.0558,0.4444,387,32,0.1238
69,134,2351,1,17,309,0.1483,1.0,1.2787,0.525,1738808,0,-0.6,1,1.0,10,0.4,50,299,19,1738812,0.0,99,0.6021,0.9618976645495145,1360,-0.0333,0.4397,0.5714,7,116,0.0074
70,135,9498,1,70,24,0.2116,0.3846,1.8808,0.2762,1709640,0,0.7619,1,0.699,13,0.2381,40,19,76,1709661,1.0,964,1.3222,0.9522497158456833,1358,-0.0236,0.028,1.0,21,118,0.0037
71,150,13943,1,92,21,0.3241,0.4444,2.0212,0.4531,1488612,1,0.6667,0,0.9031,18,0.3333,70,13,105,1488636,1.0,701,1.3802,0.32249234716866526,1358,0.0374,0.0192,1.0,24,120,0.0059
72,142,17085,1,120,1080,0.6839,0.6286,2.1239,0.6818,751892,1,-0.1364,0,1.3424,35,0.8636,143,1058,133,751911,0.0,1398,1.2787,0.5674481135493233,1658,0.0036,0.6972,0.95,20,112,0.0133
73,111,16645,1,149,1372,0.3464,1.0,2.233,0.1739,2128884,0,0.6087,1,0.9542,9,0.3913,40,1363,171,2128907,1.0,932,1.3617,0.4048549644265338,1373,-0.2395,0.0015,1.0,23,77,0.0066
74,181,9033,1,49,832,0.1696,0.8889,1.7243,0.1719,928256,0,0.0,1,0.9031,9,1.0,40,824,53,928264,0.5,433,0.9031,0.8379802186553831,1387,0.3315,0.8003,1.0,8,158,0.0058
75,124,673434,1,5430,214,1.0,0.7202,3.811,0.464,2350467,0,-0.6057,1,2.243,243,0.3943,40,39,6472,2350536,0.0,815,1.8389,0.8973021997540936,1356,-0.1871,0.0575,0.5349,129,44,0.1291
76,141,10827,1,76,1415,0.223,1.0,1.9138,0.287,1215744,1,-0.7826,0,1.3617,23,0.2174,100,1392,82,1215749,0.0,572,0.699,0.48257250858729395,1630,0.0315,0.2638,0.8333,6,123,0.0141
77,141,1261668,1,8948,208,1.0,0.2739,4.0376,0.529,1402211,0,-0.1893,1,2.2279,617,0.8106,40,39,10904,1402348,0.0,1303,2.1367,0.2574223623453714,1402,-0.096,0.0556,0.4102,334,28,0.1205
78,124,649139,1,5234,210,1.0,0.7717,3.7948,0.4325,2556287,0,-0.6154,1,2.2279,219,0.3846,40,41,6234,2556352,0.0,1130,1.8129,0.9994219092241878,1358,-0.1865,0.0604,0.52,125,43,0.1244
79,110,2576,1,23,424,0.1441,0.7143,1.3979,0.2857,91039,0,0.2857,1,0.699,7,0.7143,130,419,25,91046,1.0,1687,0.8451,0.5052769222930958,1360,-0.195,0.6162,1.0,7,99,0.0037
80,132,6632,1,50,19,0.1773,0.9231,1.7482,0.2222,21512,1,-0.5,0,1.0792,13,0.5,70,7,56,21518,0.0,1367,0.7782,0.1396236541791207,1354,-0.0748,0.0103,1.0,6,108,0.0089
81,140,889727,1,6355,178,1.0,0.2491,3.903,0.6448,2627229,0,0.142,1,2.143,558,0.858,40,39,7998,2627391,1.0,445,2.2095,0.7099046972813039,1400,-0.1309,0.0557,0.4723,343,49,0.0993
82,126,12374,1,98,1159,0.2901,0.9333,2.0294,0.3631,10507433,0,-0.1429,1,1.1461,15,0.8571,40,1145,107,10507445,0.0,1824,1.0792,0.7375151372977258,1358,-0.0965,0.2931,1.0,12,104,0.0103
83,157,11382,1,72,132,0.2699,0.6,1.8921,0.4902,785268,1,0.4706,0,0.9542,15,0.5294,143,123,78,785285,1.0,45,1.2305,0.8047643574968019,1658,0.14,0.1484,1.0,17,129,0.0054
84,127,6028,1,47,768,0.1773,0.9,1.7324,0.25,3896732,1,-0.1111,0,0.9542,10,0.8889,70,759,54,3896740,0.0,1190,0.9031,0.4487295072012506,1690,-0.1279,0.8982,1.0,8,90,0.0053
85,127,9260,1,72,1140,0.23,0.6111,1.9395,0.281,335177,1,0.0,0,1.0414,18,1.0,100,1129,87,335188,0.5,195,1.0414,0.1792683081577391,1687,-0.1685,0.6485,1.0,11,81,0.0065
86,182,11132,1,61,944,0.1773,0.8889,1.8129,0.0972,639848,0,0.1111,1,0.9031,9,0.8889,40,936,65,639857,1.0,752,0.9542,0.24248285302833272,1387,0.338,0.6388,1.0,9,161,0.0058
87,132,5907,1,44,866,0.1773,0.6667,1.6902,0.3194,10624922,0,0.5,1,0.7782,9,0.5,40,860,49,10624934,1.0,1215,1.0792,0.5219184707692535,1360,-0.0582,0.7265,0.9231,13,115,0.0044
88,111,4014,1,36,1335,0.1622,0.7273,1.6021,0.2857,126951,0,-0.125,1,0.9031,11,0.875,60,1327,40,126958,0.0,1146,0.8451,0.7488207796670548,1364,-0.216,0.0425,1.0,7,89,0.0059
89,151,35308,1,233,13,0.8355,0.3611,2.4031,0.5366,159043,0,0.6905,1,1.1139,36,0.3095,200,0,253,159085,1.0,304,1.6233,0.8575721441225576,1687,0.0903,0.0,0.913,46,127,0.0077
90,135,407966,1,3021,181,1.0,0.5796,3.5924,0.4938,168027,0,-0.5496,1,2.1173,226,0.4504,40,50,3912,168086,0.0,1746,1.7708,0.7439947226949909,1362,-0.1853,0.0734,0.5619,105,29,0.0962
91,126,17260,1,136,583,0.6839,0.8261,2.2095,0.6124,425925,0,-0.7105,1,1.5798,46,0.2895,40,545,162,425936,0.0,231,1.0414,0.41911431931630383,1360,-0.1676,0.8015,0.4074,27,99,0.0279
92,126,6302,1,50,661,0.1965,0.5385,1.7404,0.3956,1465420,0,0.4615,1,0.8451,13,0.5385,40,654,55,1465433,1.0,596,1.1139,0.7030334656988926,1354,-0.1048,0.966,1.0,13,107,0.0052
93,180,12593,1,69,934,0.2051,1.0,1.8751,0.2424,552377,0,0.1818,1,0.9542,9,0.8182,40,925,75,552388,1.0,1202,1.0414,0.8285469248387858,1387,0.3118,0.6532,1.0,11,150,0.0065
94,125,17101,1,136,670,0.4235,0.32,2.1818,0.4063,266284,0,0.75,1,0.9031,25,0.25,120,662,152,266316,1.0,317,1.5051,0.6857433454559454,1630,-0.121,0.8123,1.0,32,101,0.0049
95,127,16920,1,133,1330,0.3601,0.2609,2.1614,0.3287,1543653,0,0.8333,1,0.7782,23,0.1667,40,1324,145,1543689,1.0,631,1.5563,0.8225830906174316,1352,-0.0884,0.0325,1.0,36,108,0.0044
96,141,31824,1,225,17,0.9254,0.3696,2.3927,0.6368,889681,0,0.575,1,1.2305,46,0.425,70,0,247,889721,1.0,963,1.6021,0.12566385286853599,1353,0.0066,0.0,0.6557,61,121,0.0126
97,141,40573,1,287,230,0.9985,0.6712,2.4941,0.7551,1566427,0,-0.4694,1,1.6902,73,0.5306,40,181,312,1566453,0.0,1826,1.415,0.5156874385219721,1360,0.0159,0.2662,0.5417,48,122,0.036
98,140,15146,1,108,1158,0.3945,0.5385,2.0792,0.4958,113260,0,0.1765,1,1.1461,26,0.8235,40,1144,120,113277,1.0,1159,1.2305,0.7746238812922298,1372,-0.0139,0.3119,1.0,17,117,0.0102
99,119,33449,1,281,1333,0.8861,0.2083,2.5185,0.459,68445,0,0.8361,1,1.0,48,0.1639,120,1323,330,68506,1.0,520,1.7853,0.8565480235745582,1353,-0.2081,0.0296,1.0,61,90,0.0074
100,132,9704,1,73,355,0.2288,0.625,1.9638,0.2333,348556,1,0.1667,0,1.0,16,0.8333,150,345,92,348568,1.0,634,1.0792,0.04869847231385127,1688,-0.176,0.4088,1.0,12,71,0.0059
101,142,297086,1,2092,820,1.0,0.278,3.3508,0.6685,141196,0,0.3366,1,1.8261,241,0.6634,40,753,2243,141297,1.0,12,2.0043,0.6438651200806645,1627,0.0348,0.9256,0.5179,195,122,0.0412
102,124,31789,1,256,92,0.8563,0.5278,2.5024,0.4421,1964561,1,0.3667,0,1.2787,36,0.6333,70,73,318,1964591,1.0,135,1.4771,0.022803871029697498,1354,-0.219,0.1078,0.9091,33,85,0.014
103,141,1456542,1,10330,191,1.0,0.2444,4.0972,0.5101,1661425,0,0.0952,1,2.1818,622,0.9048,40,39,12509,1661593,1.0,1392,2.2253,0.11750438225260151,1400,-0.0903,0.0557,0.4492,374,27,0.1086
104,141,1972773,1,13991,218,1.0,0.2672,4.2259,0.365,965451,0,-0.1732,1,2.2529,670,0.8268,40,39,16821,965599,0.0,463,2.1703,0.30134263251471793,1398,-0.0838,0.0558,0.3482,425,29,0.128
105,134,7197,1,53,650,0.1852,0.8333,1.8062,0.2,629605,1,-0.2,0,1.0,12,0.8,80,640,64,629613,0.0,1598,0.9031,0.8119882015105448,1656,-0.1215,0.7729,1.0,8,91,0.006
106,140,16308,1,116,197,0.4089,0.5,2.1139,0.4737,1924923,1,-0.3158,0,1.2787,38,0.6842,70,178,130,1924936,0.0,571,1.1139,0.8444788732871865,1356,-0.02,0.2625,0.52,25,115,0.014
107,127,23706,1,186,22,0.633,0.4286,2.356,0.4089,1678200,0,0.625,1,1.0792,28,0.375,90,10,227,1678232,1.0,1514,1.5051,0.894687886867815,1698,-0.1841,0.0118,1.0,32,77,0.0071
108,96,65200,1,679,1344,0.9999,0.194,2.8965,0.5373,397980,0,0.9008,1,1.1139,67,0.0992,70,1331,788,398111,1.0,1785,2.1173,0.8420701517722398,1353,-0.3536,0.0133,0.9562,137,61,0.0096
109,126,1063,1,8,1040,0.1284,1.0,0.9542,0.4,156370,0,-0.4,1,0.699,5,0.6,50,1035,9,156373,0.0,1379,0.4771,0.4290261213574127,1358,-0.0773,0.4683,0.75,4,107,0.0037
110,135,17419,1,129,17,0.4366,0.8461,2.1614,0.4508,402394,0,0.5417,1,1.0414,13,0.4583,200,6,145,402418,1.0,676,1.3802,0.9152987602855548,1687,-0.0615,0.0071,1.0,24,111,0.0065
111,132,17532,1,132,1098,0.7147,0.5405,2.1818,0.6546,3996148,1,0.0909,0,1.301,37,0.9091,80,1078,152,3996170,1.0,1395,1.3424,0.15575767097457938,1364,-0.0989,0.39,0.6286,35,100,0.0147
112,117,125462,1,1072,462,1.0,0.2188,3.1055,0.4326,214705,0,0.8037,1,1.3222,96,0.1963,220,441,1275,214812,1.0,1677,2.0294,0.4412227484805581,1394,-0.2312,0.6327,0.9554,112,84,0.0151
113,110,7387,1,67,38,0.2195,0.8,1.8921,0.3036,2488268,1,0.4286,0,0.9031,10,0.5714,60,30,78,2488282,1.0,925,1.1461,0.25325547440019736,1692,-0.2601,0.0355,1.0,14,79,0.0047
114,124,30269,1,244,1271,0.7037,0.4,2.5106,0.25,1918092,0,0.6667,1,1.0792,30,0.3333,70,1259,324,1918128,1.0,848,1.5563,0.14937415636815077,1353,-0.2701,0.1212,1.0,36,65,0.0089
115,133,6634,1,49,1084,0.1862,0.75,1.7324,0.3333,385913,0,0.0,1,0.9542,12,1.0,185,1075,54,385922,0.5,1185,0.9542,0.8231076228068998,1366,-0.0402,0.4129,0.9,10,114,0.0066
116,149,13464,1,90,1273,0.2901,0.5,2.0086,0.3929,1592233,1,0.1429,0,1.0792,24,0.8571,100,1261,102,1592247,1.0,577,1.1461,0.5871239405369806,1650,0.0313,0.457,0.9333,15,118,0.0073
117,132,6863,1,51,1193,0.1822,0.7,1.7781,0.2208,238656,1,0.3636,0,0.8451,10,0.6364,120,1186,60,238667,1.0,1315,1.0414,0.680418805669922,1362,-0.1064,0.2482,1.0,11,100,0.0051
118,140,2069,1,14,771,0.1449,0.6667,1.2041,0.5556,879259,0,0.0,1,0.7782,9,1.0,50,765,16,879265,0.5,64,0.7782,0.6347183200005908,1358,0.0103,0.8645,0.75,8,123,0.0044
